0	391	1927    458321.683	4403426.316	23.852      
1	1782	1107    458331.255	4403417.763	35.726      
2	4105	1794    458316.001	4403375.722	33.221      
3	5471	1584    458288.907	4403400.341	35.726      
4	7019	1447    458296.097	4403433.381	35.896   
  2	1363	2218    458331.213	4403421.839	21.080
  3	1955	2277    458331.103	4403415.049	21.100
  4	2536	1711    458328.913	4403410.016	26.992
  5	3780	2007    458325.612	4403377.519	26.642
  6	4933	1832    458292.857	4403384.021	31.266
  7	5513	1897    458292.117	4403402.411	26.936
  8	7331	2100    458303.595	4403433.958	21.205
  9	7668	1517    458309.785	4403435.213	31.386
 10	7772	2090    458310.558	4403438.430	21.204
 11	8006	2206    458316.338	4403426.689	21.185
